dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2010-01-29,0.7175834861061313,0.3274551704608516,0.0,1.0,0.0,
2010-02-26,0.8805909633109309,0.38802495602506215,0.0,1.0,0.0,1.0
2010-03-31,1.0780413832621,0.3290936716622983,0.0,,0.0,
2010-04-30,1.0607455006967532,0.3156653630159877,0.0,,0.0,
2010-05-31,1.0592441224382088,0.312353269033114,0.0,,0.0,1.0
2010-06-30,1.0854318078237462,0.2972878214451402,0.0,,0.0,
2010-07-30,1.0604362519294075,0.2924682782543314,0.0,1.0,0.0,
2010-08-31,1.025153277295369,0.28313123620128655,0.0,1.0,0.0,
2010-09-30,0.9962738999623487,0.2796647008940786,0.0,,0.0,
2010-10-29,0.9741577389303899,0.2765809597045982,0.0,1.0,0.0,
2010-11-30,0.9389744799882621,0.2547372206829681,0.0,,0.0,
2010-12-31,1.006458839010801,0.2009989743407804,0.0,1.0,0.0,
2011-01-31,1.00501788003084,0.1995183238124958,0.0,1.0,0.0,1.0
2011-02-28,0.8586896121441839,0.40610897419633496,0.0,,0.0,1.0
2011-03-31,0.8796289747449296,0.3501298214992369,0.0,1.0,0.0,1.0
2011-04-29,0.8931264043469147,0.36692691650121634,0.0,,0.0,
2011-05-31,0.961846677690284,0.29571066033068505,0.0,1.0,0.0,
2011-06-30,0.9594949363959226,0.3028267810221842,0.0,,0.0,1.0
2011-07-29,0.9661544991514395,0.3041745325856108,0.0,,0.0,
2011-08-31,0.964755705475366,0.3238788796504096,0.0,,0.0,
2011-09-30,1.0151160613043586,0.25805433109817855,0.0,,0.0,1.0
2011-10-31,1.0038884731386108,0.25192590647186563,0.0,,0.0,1.0
2011-11-30,1.0386809169229598,0.22839277101344102,0.0,1.0,0.0,
2011-12-30,1.098884341150176,0.2087813514093687,0.0,,0.0,
2012-01-31,0.7410143820857343,0.17750327267070998,0.0,1.0,0.0,
2012-02-29,0.5944884855095158,0.25403880103264864,0.0,,0.0,
2012-03-30,0.359377734450169,0.5462510171413727,0.0,1.0,0.0,
2012-04-27,0.36468050784536804,0.5461164308027822,0.0,1.0,0.0,
2012-05-31,0.3615987116549835,0.5314196002722593,0.0,,0.0,1.0
2012-06-29,0.37376667188295937,0.5054900811850926,0.0,1.0,0.0,1.0
2012-07-31,0.3894839847320303,0.48450258347815545,0.0,1.0,0.0,
2012-08-31,0.4048453016717939,0.4553652309877321,0.0,,0.0,1.0
2012-09-28,0.4321167117909873,0.43268351302125274,0.0,,0.0,
2012-10-31,0.43423342156272876,0.42640127316432175,0.0,1.0,0.0,
2012-11-30,0.46690918809438675,0.37778330136999194,0.0,,0.0,
2012-12-31,0.45383854220833547,0.3837889610615266,0.0,1.0,0.0,
2013-01-31,0.4332873897821457,0.4080293015080375,0.0,1.0,0.0,
2013-02-28,0.45036635981384415,0.30173668340395343,0.0,,0.0,1.0
2013-03-29,0.2738048985397875,0.5878228065700681,0.0,1.0,0.0,
2013-04-26,0.2701771064196232,0.5969569712991785,0.0,1.0,0.0,1.0
2013-05-31,0.23128966805750475,0.6494436179187242,0.0,1.0,0.0,
2013-06-28,0.24429778408425984,0.6340036650913219,0.0,1.0,0.0,
2013-07-31,0.2407095364459127,0.6449903296939363,0.0,1.0,0.0,1.0
2013-08-30,0.21757320282257955,0.6772748771778733,0.0,,0.0,
2013-09-30,0.20814393375661122,0.6858054982001495,0.0,,0.0,
2013-10-31,0.19251913167377793,0.7094395735123713,0.0,1.0,0.0,
2013-11-29,0.18842455733302088,0.707998155016906,0.0,,0.0,
2013-12-31,0.17376288848612637,0.7246317929765973,0.0,,0.0,1.0
2014-01-30,0.17321875239666207,0.7089123509645873,0.0,1.0,0.0,
2014-02-28,0.7232837622375918,0.1632779411733356,0.0,,0.0,
2014-03-31,0.7594147383814329,0.15028274324642912,0.0,1.0,0.0,1.0
2014-04-30,0.7600123786715289,0.13459142483856149,0.0,1.0,0.0,
2014-05-30,0.7679064171669683,0.12871055287284236,0.0,,0.0,
2014-06-30,0.7484645228819085,0.1361941378903491,0.0,1.0,0.0,
2014-07-31,0.7307891365159789,0.14193529964563126,0.0,1.0,0.0,1.0
2014-08-29,0.7142360458305564,0.13410107711262478,0.0,1.0,0.0,1.0
2014-09-30,0.6839056955655938,0.1508683844803975,0.0,,0.0,
2014-10-31,0.6777077839864065,0.14059843932794072,0.0,1.0,0.0,1.0
2014-11-28,0.6763385506375056,0.1398022775425612,0.0,,0.0,
2014-12-31,0.6644156047016329,0.15443701164600052,0.0,,0.0,
2015-01-30,0.501079856284021,0.22777223375459077,0.0,,0.0,1.0
2015-02-27,0.7339657508807573,0.0789989529634287,0.0,1.0,0.0,
2015-03-31,0.783715850666231,0.15852670455652018,0.0,1.0,0.0,1.0
2015-04-30,0.7425047845081696,0.2032512195151539,0.0,1.0,0.0,
2015-05-29,0.6953486902155467,0.2652696139217525,0.0,1.0,0.0,1.0
2015-06-30,0.69974559069068,0.3142938577134351,0.0,1.0,0.0,1.0
2015-07-31,0.6887619609641972,0.38215954750139136,0.0,,0.0,1.0
2015-08-31,0.6974041833886588,0.42519300718472663,0.0,,0.0,1.0
2015-09-30,0.7267172045080584,0.44119307337808233,0.0,1.0,0.0,1.0
2015-10-30,0.7091983701408294,0.4675890166504627,0.0,,0.0,
2015-11-30,0.6785156289626951,0.4915646113171033,0.0,1.0,0.0,1.0
2015-12-31,0.6820009645953472,0.48967336986183496,0.0,1.0,0.0,1.0
