dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2010-01-29,,,,,,
2010-02-26,,,,,,
2010-03-31,,,,,,
2010-04-30,,,,,,
2010-05-31,,,,,,
2010-06-30,,,,,,
2010-07-30,,,,,,
2010-08-31,,,,,,
2010-09-30,,,,,,
2010-10-29,,,,,,
2010-11-30,,,,,,
2010-12-31,,,,,,
2011-01-31,,,,,,
2011-02-28,,,,,,
2011-03-31,,,,,,
2011-04-29,,,,,,
2011-05-31,,,,,,
2011-06-30,,,,,,
2011-07-29,0.0,1.0,0.0,,0.0,
2011-08-31,0.0,1.0,0.0,,0.0,
2011-09-30,0.0,,0.0,1.0,0.0,
2011-10-31,0.0,,0.0,1.0,0.0,
2011-11-30,0.0,,0.0,1.0,0.0,
2011-12-30,0.0,,0.0,,0.0,
2012-01-31,0.35034304284144185,0.5483646586710602,0.0,,0.0,
2012-02-29,-0.028483919142896136,0.9577798422344579,0.0,1.0,0.0,
2012-03-30,0.02942732419675165,0.9544642852569782,0.0,1.0,0.0,
2012-04-27,-0.03156805679990218,0.9497357356979778,0.0,,0.0,1.0
2012-05-31,-0.03836204775042817,0.9357684341624285,0.0,,0.0,1.0
2012-06-29,0.028638767764509812,0.9541060732499053,0.0,,0.0,
2012-07-31,0.03012666672766816,0.9449685969678747,0.0,1.0,0.0,1.0
2012-08-31,0.03419544082384755,0.9346813817504069,0.0,,0.0,1.0
2012-09-28,0.04602042904122044,0.9132040885079749,0.0,1.0,0.0,
2012-10-31,0.019961283458044713,0.9622271486819348,0.0,1.0,0.0,
2012-11-30,0.0410042501958389,0.9203183513781613,0.0,1.0,0.0,
2012-12-31,-0.10613992219282624,0.8063269960235611,0.0,,0.0,
2013-01-31,-0.13784615707219777,0.7535811244591546,0.0,,0.0,
2013-02-28,-0.27921876392645034,0.47553062288074044,0.0,1.0,0.0,1.0
2013-03-29,-0.2611767879323334,0.5143960028939931,0.0,,0.0,
