Index,share_pos_sig_Holiday_COVID,share_neg_sig_Holiday_COVID,share_ns_Holiday_COVID
CSI_1000,0.0,0.15,0.85
FTSE_China_A50,0.0,0.15,0.85
SSE_100,0.01639344262295082,0.19672131147540983,0.7868852459016393
SSE_50,0.0,0.12941176470588237,0.8705882352941177
SSE_A_Share,0.0,0.1518987341772152,0.8481012658227848
SSE_Composite,0.0,0.14814814814814814,0.8518518518518519
SZSE_Component,0.0,0.20634920634920634,0.7936507936507937
